time,heartrate,watts,temperature,interval
2603,175,232,varm,5
2604,174,232,varm,5
2605,174,232,varm,5
2606,175,238,varm,5
2607,175,251,varm,5
2608,175,243,varm,5
2609,175,238,varm,5
2610,175,238,varm,5
2611,175,231,varm,5
2612,175,233,varm,5
2613,175,242,varm,5
2614,175,242,varm,5
2615,175,241,varm,5
2616,175,237,varm,5
2617,175,233,varm,5
2618,175,230,varm,5
2619,175,238,varm,5
2620,175,237,varm,5
2621,175,238,varm,5
2622,175,237,varm,5
2623,175,234,varm,5
2624,175,233,varm,5
2625,175,232,varm,5
2626,175,232,varm,5
2627,175,242,varm,5
2628,175,241,varm,5
2629,175,249,varm,5
2630,175,252,varm,5
2631,175,235,varm,5
2632,175,232,varm,5
2633,175,234,varm,5
2634,175,237,varm,5
2635,175,250,varm,5
2636,175,258,varm,5
2637,175,249,varm,5
2638,175,249,varm,5
2639,175,241,varm,5
2640,175,240,varm,5
2641,176,240,varm,5
2642,176,248,varm,5
2643,175,251,varm,5
2644,175,260,varm,5
2645,175,251,varm,5
2646,175,244,varm,5
2647,175,245,varm,5
2648,175,244,varm,5
2649,175,242,varm,5
2650,176,233,varm,5
2651,175,232,varm,5
2652,176,236,varm,5
2653,175,235,varm,5
2654,175,240,varm,5
2655,175,240,varm,5
2656,175,246,varm,5
2657,175,258,varm,5
2658,175,242,varm,5
2659,175,243,varm,5
2660,175,237,varm,5
2661,175,245,varm,5
2662,175,254,varm,5
2663,176,265,varm,5
2664,176,266,varm,5
2665,176,245,varm,5
2666,176,246,varm,5
2667,176,233,varm,5
2668,176,233,varm,5
2669,176,234,varm,5
2670,176,252,varm,5
2671,176,246,varm,5
2672,176,248,varm,5
2673,176,239,varm,5
2674,176,228,varm,5
2675,176,229,varm,5
2676,176,234,varm,5
2677,176,234,varm,5
2678,176,235,varm,5
2679,177,234,varm,5
2680,177,235,varm,5
2681,177,234,varm,5
2682,177,233,varm,5
2683,177,232,varm,5
2684,177,233,varm,5
2685,177,233,varm,5
2686,177,232,varm,5
2687,177,239,varm,5
2688,177,241,varm,5
2689,177,240,varm,5
2690,177,237,varm,5
2691,178,237,varm,5
2692,178,240,varm,5
2693,178,235,varm,5
2694,177,232,varm,5
2695,177,239,varm,5
2696,177,239,varm,5
2697,177,236,varm,5
2698,177,246,varm,5
2699,177,248,varm,5
2700,177,260,varm,5
2701,177,250,varm,5
2702,176,247,varm,5
2703,176,241,varm,5
2704,176,240,varm,5
2705,176,241,varm,5
2706,176,237,varm,5
2707,176,239,varm,5
2708,176,243,varm,5
2709,176,242,varm,5
2710,176,247,varm,5
2711,176,241,varm,5
2712,176,237,varm,5
2713,176,238,varm,5
2714,177,238,varm,5
2715,177,243,varm,5
2716,177,241,varm,5
2717,177,232,varm,5
2718,177,235,varm,5
2719,177,232,varm,5
2720,177,237,varm,5
2721,177,242,varm,5
2722,178,251,varm,5
2723,178,257,varm,5
2724,177,237,varm,5
2725,177,234,varm,5
2726,177,226,varm,5
2727,177,232,varm,5
2728,177,242,varm,5
2729,177,246,varm,5
2730,177,243,varm,5
2731,177,248,varm,5
2732,177,242,varm,5
2733,177,237,varm,5
2734,178,243,varm,5
2735,178,254,varm,5
2736,178,254,varm,5
2737,178,239,varm,5
2738,178,239,varm,5
2739,178,235,varm,5
2740,178,232,varm,5
2741,178,232,varm,5
2742,178,239,varm,5
2743,178,242,varm,5
2744,178,250,varm,5
2745,178,239,varm,5
2746,178,243,varm,5
2747,178,241,varm,5
2748,178,239,varm,5
2749,177,235,varm,5
2750,177,231,varm,5
2751,177,235,varm,5
2752,177,233,varm,5
2753,177,235,varm,5
2754,177,235,varm,5
2755,177,238,varm,5
2756,177,260,varm,5
2757,178,256,varm,5
2758,178,239,varm,5
2759,178,250,varm,5
2760,178,249,varm,5
2761,178,246,varm,5
2762,178,244,varm,5
2763,178,257,varm,5
2764,178,251,varm,5
2765,178,239,varm,5
2766,179,239,varm,5
2767,178,241,varm,5
2768,178,240,varm,5
2769,178,239,varm,5
2770,178,234,varm,5
2771,178,241,varm,5
2772,178,244,varm,5
2773,177,239,varm,5
2774,177,247,varm,5
2775,178,243,varm,5
2776,178,242,varm,5
2777,178,248,varm,5
2778,177,253,varm,5
2779,178,260,varm,5
2780,178,255,varm,5
2781,178,251,varm,5
2782,177,239,varm,5
2783,177,248,varm,5
2784,176,242,varm,5
2785,176,240,varm,5
2786,176,235,varm,5
2787,176,238,varm,5
2788,176,235,varm,5
2789,177,231,varm,5
2790,176,231,varm,NA
2791,177,237,varm,NA
2792,177,232,varm,NA
2793,177,172,varm,NA
2794,176,56,varm,NA
2795,176,34,varm,NA
2796,176,32,varm,NA
2797,175,36,varm,NA
2798,176,26,varm,NA
2799,175,84,varm,NA
2800,175,43,varm,NA
2801,174,62,varm,NA
2802,175,83,varm,NA
2803,175,91,varm,NA
2804,175,93,varm,NA
2805,174,94,varm,NA
2806,174,103,varm,NA
2807,174,108,varm,NA
2808,175,106,varm,NA
2809,174,103,varm,NA
2810,174,106,varm,NA
2811,174,106,varm,NA
2812,175,106,varm,NA
2813,175,106,varm,NA
2814,175,110,varm,NA
2815,174,111,varm,NA
2816,174,109,varm,NA
2817,174,110,varm,NA
2818,175,111,varm,NA
2819,175,111,varm,NA
2820,175,111,varm,NA
2821,175,116,varm,NA
2822,175,98,varm,NA
2823,175,113,varm,NA
2824,175,110,varm,NA
2825,173,115,varm,NA
2826,172,113,varm,NA
2827,172,116,varm,NA
2828,171,117,varm,NA
2829,171,117,varm,NA
2830,170,117,varm,NA
2831,170,118,varm,NA
2832,169,119,varm,NA
2833,169,118,varm,NA
2834,168,121,varm,NA
2835,167,120,varm,NA
2836,167,126,varm,NA
2837,166,124,varm,NA
2838,165,126,varm,NA
2839,165,127,varm,NA
2840,165,125,varm,NA
2841,164,127,varm,NA
2842,164,133,varm,NA
2843,163,125,varm,NA
2844,163,127,varm,NA
2845,162,129,varm,NA
2846,162,126,varm,NA
2847,162,123,varm,NA
2848,161,119,varm,NA
2849,161,124,varm,NA
2850,161,131,varm,NA
2851,159,132,varm,NA
2852,159,130,varm,NA
2853,158,129,varm,NA
2854,158,127,varm,NA
2855,157,126,varm,NA
2856,157,127,varm,NA
2857,157,125,varm,NA
2858,158,127,varm,NA
2859,158,125,varm,NA
2860,157,128,varm,NA
2861,157,129,varm,NA
2862,158,125,varm,NA
2863,157,48,varm,NA
2864,159,29,varm,NA
2865,159,122,varm,NA
